,0,1
0,0.png,3
1,1.png,2
2,2.png,2
3,3.png,2
4,4.png,2
5,5.png,2
6,6.png,2
7,7.png,2
8,8.png,2
9,9.png,1
10,10.png,1
11,11.png,1
12,12.png,1
13,13.png,1
14,14.png,3
15,15.png,3
16,16.png,3
17,17.png,3
18,18.png,3
19,19.png,3
20,20.png,3
21,21.png,3
22,22.png,0
23,23.png,0
24,24.png,0
25,25.png,0
26,26.png,0
27,27.png,0
28,28.png,0
29,29.png,0
30,30.png,0
31,31.png,0
32,32.png,0
33,33.png,0
34,34.png,0
35,35.png,0
36,36.png,0
37,37.png,0
38,38.png,0
39,39.png,0
40,40.png,0
41,41.png,0
42,42.png,0
43,43.png,0
44,44.png,0
45,45.png,0
46,46.png,0
47,47.png,0
48,48.png,0
49,49.png,0
50,50.png,0
51,51.png,0
52,52.png,0
53,53.png,3
54,54.png,3
55,55.png,3
56,56.png,2
57,57.png,2
58,58.png,2
59,59.png,2
60,60.png,2
61,61.png,2
62,62.png,2
63,63.png,2
64,64.png,3
65,65.png,3
66,66.png,3
67,67.png,0
68,68.png,0
69,69.png,0
70,70.png,0
71,71.png,0
72,72.png,0
73,73.png,0
74,74.png,0
75,75.png,0
76,76.png,0
77,77.png,0
78,78.png,0
79,79.png,0
80,80.png,0
81,81.png,0
82,82.png,0
83,83.png,0
84,84.png,0
85,85.png,0
86,86.png,0
87,87.png,0
88,88.png,0
89,89.png,0
90,90.png,0
91,91.png,0
92,92.png,0
93,93.png,0
94,94.png,9
95,95.png,9
96,96.png,9
97,97.png,9
98,98.png,9
99,99.png,9
100,100.png,3
101,101.png,3
102,102.png,3
103,103.png,3
104,104.png,3
105,105.png,3
106,106.png,6
107,107.png,3
108,108.png,3
109,109.png,3
110,110.png,3
111,111.png,3
112,112.png,3
113,113.png,3
114,114.png,8
115,115.png,8
116,116.png,8
117,117.png,8
118,118.png,8
119,119.png,8
120,120.png,8
121,121.png,8
122,122.png,5
123,123.png,5
124,124.png,5
125,125.png,5
126,126.png,5
127,127.png,5
128,128.png,5
129,129.png,5
130,130.png,5
131,131.png,5
132,132.png,5
133,133.png,5
134,134.png,5
135,135.png,5
136,136.png,5
137,137.png,5
138,138.png,5
139,139.png,5
140,140.png,5
141,141.png,5
142,142.png,5
143,143.png,5
144,144.png,5
145,145.png,5
146,146.png,5
147,147.png,5
148,148.png,5
149,149.png,5
150,150.png,5
151,151.png,5
152,152.png,5
153,153.png,5
154,154.png,5
155,155.png,8
156,156.png,8
157,157.png,8
158,158.png,8
159,159.png,8
160,160.png,8
161,161.png,8
162,162.png,8
163,163.png,8
164,164.png,8
165,165.png,8
166,166.png,8
167,167.png,8
168,168.png,8
169,169.png,8
170,170.png,8
171,171.png,7
172,172.png,7
173,173.png,7
174,174.png,7
175,175.png,7
176,176.png,7
177,177.png,7
178,178.png,7
179,179.png,7
180,180.png,7
181,181.png,7
182,182.png,7
183,183.png,7
184,184.png,7
185,185.png,7
186,186.png,7
187,187.png,7
188,188.png,7
189,189.png,7
190,190.png,7
191,191.png,7
192,192.png,7
193,193.png,3
194,194.png,3
195,195.png,3
196,196.png,4
197,197.png,4
198,198.png,4
199,199.png,4
200,200.png,4
201,201.png,4
202,202.png,4
203,203.png,4
204,204.png,4
205,205.png,4
206,206.png,4
207,207.png,4
208,208.png,4
209,209.png,4
210,210.png,4
211,211.png,4
212,212.png,4
213,213.png,4
214,214.png,4
215,215.png,4
216,216.png,4
217,217.png,5
218,218.png,5
219,219.png,5
220,220.png,5
221,221.png,5
222,222.png,5
223,223.png,5
224,224.png,5
225,225.png,5
226,226.png,5
227,227.png,5
228,228.png,5
229,229.png,5
230,230.png,5
231,231.png,5
232,232.png,5
233,233.png,5
234,234.png,5
235,235.png,5
236,236.png,5
237,237.png,5
238,238.png,5
239,239.png,5
240,240.png,5
241,241.png,5
242,242.png,5
243,243.png,5
244,244.png,5
245,245.png,5
246,246.png,5
247,247.png,5
248,248.png,5
249,249.png,5
250,250.png,5
251,251.png,5
252,252.png,5
253,253.png,5
254,254.png,5
255,255.png,5
256,256.png,5
257,257.png,4
258,258.png,4
259,259.png,5
260,260.png,5
