,1
4119,2
7514,1
7476,9
409,7
6374,8
5360,7
4502,0
8046,9
808,9
2531,8
162,8
8231,9
7669,1
4459,2
332,7
4351,7
6446,9
8051,3
1884,0
5895,5
1798,9
1297,7
5850,8
8114,0
8570,9
5252,0
7738,8
5130,3
7420,4
2529,8
3288,4
8655,7
4760,0
2162,5
2521,8
1374,2
4499,0
5629,8
4686,7
7676,1
5024,2
5564,5
5787,8
6176,4
6384,8
4671,7
8352,3
8110,0
5074,6
5063,2
3831,7
2601,6
5449,4
1930,0
5876,3
8590,9
8196,3
6996,9
3877,0
7496,1
2378,5
6244,9
4777,0
7746,3
8427,2
480,5
3493,7
2253,2
3191,3
6801,3
5296,8
6952,4
7108,7
4541,0
2906,7
7797,0
8373,5
7303,7
3803,7
6036,7
324,7
5892,5
3778,5
8508,5
1054,8
228,5
2419,7
7860,3
629,5
2133,0
2238,2
7101,5
5752,1
6827,4
7566,3
8464,9
341,7
3129,0
859,8
23,0
3819,7
2762,8
6219,9
6795,4
6590,3
1601,3
2551,2
7672,1
179,7
2499,8
2988,6
4850,2
1616,4
5707,4
6333,5
6775,8
5667,7
5271,9
6429,4
2730,8
7771,0
4832,9
1685,5
6670,3
683,5
4934,9
4916,9
4673,7
3536,9
4647,8
258,4
5897,5
47,0
676,3
1142,9
7184,4
8569,9
8532,5
6057,3
1160,4
2434,6
6490,5
8664,9
2407,8
7307,7
1975,4
8047,9
395,7
5141,1
2201,9
6382,8
5410,0
6389,9
3447,9
8627,7
266,2
1473,6
3931,0
6629,4
2713,8
2356,4
1086,3
3529,9
6351,5
940,0
3079,7
6131,7
7441,1
5624,8
5140,1
1780,2
2947,7
7987,3
8423,2
2422,7
7749,0
8726,1
3753,5
421,8
7129,7
1567,9
1906,0
8479,5
6132,7
623,3
4575,1
1594,9
4033,3
6553,0
2158,5
8531,5
5975,4
837,3
4980,5
7194,4
5003,0
7153,7
193,3
28,0
1997,0
3699,1
1705,5
6277,4
400,7
8278,2
3790,5
1285,7
1471,6
269,2
2468,8
3238,0
5016,2
3546,9
5859,4
6301,5
5173,5
1101,7
5116,6
2209,1
8295,3
1413,8
5682,7
4692,7
5068,9
5802,8
7843,9
7543,1
1871,0
6637,5
1781,3
1409,8
644,5
33,0
7580,3
3962,0
7571,3
2547,2
2709,8
7851,4
3897,0
1833,5
5812,8
43,0
4109,2
7813,8
6007,0
274,2
6367,9
5783,8
2596,6
6419,8
6887,8
8669,9
6816,0
4883,3
3688,5
5487,2
6559,3
8363,9
4129,3
3641,3
2212,1
1674,5
4252,4
5264,3
240,5
3878,0
791,9
5009,0
8643,8
7866,4
1882,0
8546,3
3072,7
4567,5
3181,5
8032,9
7744,9
5197,5
6546,2
1719,5
388,7
2501,8
2751,8
8645,9
5345,7
8494,5
1797,9
6710,2
6398,3
571,2
3183,5
5413,0
5217,5
790,9
99,9
6028,7
8304,0
4808,2
8344,2
3118,9
6187,9
4964,5
3757,2
4136,4
3542,9
2850,4
7400,4
5020,2
3522,9
6478,9
529,8
196,4
8086,5
3598,6
2416,7
3349,9
6603,4
2068,5
2464,8
6978,4
6026,7
8412,5
3614,6
7581,3
2266,9
5622,8
929,5
4930,9
3485,7
4216,4
4410,4
8640,9
4174,4
423,8
795,9
8246,0
4127,9
4935,9
2727,8
7382,6
3206,5
5853,4
2288,2
6245,6
8431,9
5915,9
3179,5
833,3
4766,0
146,5
7168,7
2363,4
1306,7
6633,4
7444,1
5700,7
885,4
1201,3
8672,9
6697,3
3669,5
4447,3
7677,1
3724,3
8367,1
2876,3
4123,9
7466,4
5569,9
2938,7
1724,5
5644,7
6561,3
2602,6
85,0
2523,8
7946,6
777,9
5043,2
2070,5
1541,4
2851,4
5284,9
2420,7
6273,3
2518,8
2389,5
7471,3
5392,0
1098,7
4941,3
896,8
3539,9
2789,0
3207,5
4153,1
4335,7
1942,0
1405,0
5171,5
8365,9
4064,5
605,3
1555,2
6232,6
362,7
6143,1
7421,4
3269,4
5882,6
7396,4
4357,7
7422,4
2155,5
7209,0
7438,8
2904,7
4928,9
647,5
4942,3
1072,8
8307,0
4649,2
7397,4
6648,5
3779,5
4938,9
1482,6
7525,1
4328,7
6733,2
2753,8
2055,6
8157,2
829,3
2470,8
3399,4
1502,2
5681,7
3651,2
1013,2
2367,3
3061,8
6029,7
4411,4
127,5
7814,8
7355,3
6174,4
5484,3
4831,9
2619,2
4618,2
1257,4
4399,9
6063,3
5176,5
5146,1
8261,2
7352,5
6305,5
2067,5
1751,4
4762,0
4925,9
1983,0
363,7
1316,9
1625,4
7651,0
627,5
414,7
4452,3
4743,0
2781,8
3963,0
3408,4
3612,6
2663,8
5585,3
5603,8
6260,4
7097,5
8140,3
4926,9
9,1
5336,7
7014,2
6414,8
2112,2
2358,4
1359,2
5162,3
584,3
5557,5
7378,6
1443,6
6236,9
4784,0
3686,5
5155,4
843,3
8033,9
8525,8
1636,2
7954,2
4914,9
4406,4
1600,3
8598,2
2814,2
8440,9
5299,8
1414,8
7799,0
4108,2
3993,7
1205,1
2365,4
3284,4
2696,8
2026,8
3914,0
7123,7
2285,2
2664,8
2589,6
8543,3
71,0
2967,2
3563,3
2089,9
7615,3
4665,7
6722,9
2323,5
2725,8
6658,0
7762,0
5166,6
3550,2
4352,7
7461,4
6183,3
4308,4
8725,1
6784,2
5143,1
468,5
3503,9
7838,8
3606,6
4495,0
3414,4
5421,0
8298,3
893,4
4822,2
4887,2
6324,5
7715,8
6596,1
3276,4
3455,9
1095,7
2516,8
3624,2
256,5
7113,7
4660,7
4920,9
8167,5
4029,7
6787,4
8018,9
2151,5
1034,8
5286,9
7002,9
451,9
6758,7
1181,9
6409,8
5326,7
6855,0
2936,7
5355,7
4870,2
1192,5
755,9
6685,3
6211,3
6447,9
172,7
527,8
1484,6
7603,1
8595,3
168,8
4244,4
447,2
5740,1
4944,3
2484,8
1587,9
2247,2
1957,3
8709,2
1531,9
2312,3
4011,7
6334,5
2676,8
3369,2
8334,8
2597,6
206,4
2380,5
1040,8
7868,8
2644,8
1326,0
8257,2
8256,5
2148,3
3481,7
1280,7
105,3
8120,0
6693,9
6765,3
955,5
6247,2
343,7
5207,5
6209,3
5279,3
7890,0
2257,9
1251,4
26,0
136,5
1679,5
1862,0
5057,2
3585,7
509,8
3767,5
3736,5
7555,1
2510,8
1976,4
1240,2
203,4
7722,8
8218,9
6330,5
5502,2
5473,2
598,2
8556,4
4631,3
4182,3
6929,4
1739,5
6588,5
6563,3
2743,8
2387,5
5991,3
4823,2
2790,0
2564,8
1633,2
908,8
5184,5
3096,7
8253,5
4241,4
4008,7
5341,7
1888,0
6336,5
7336,4
1661,9
919,1
8722,9
5942,9
1039,8
7284,4
560,3
6242,9
4619,2
5858,4
2520,8
1549,4
5291,8
3450,9
5889,1
3293,4
4002,7
512,8
2150,5
2240,9
4404,4
1073,9
6362,9
5190,5
4917,9
6282,5
1077,9
45,0
374,7
7468,4
6442,9
6424,8
333,7
7115,7
4461,2
3839,7
4237,4
4520,9
3327,5
2202,9
8620,9
465,5
8489,5
853,8
3943,0
1874,0
8456,8
5384,2
4863,2
8121,0
1647,5
6054,3
6115,7
6008,0
2661,8
5986,4
4401,9
5066,3
8026,9
5678,7
5023,2
6018,7
7612,3
6910,4
6403,3
4624,1
308,7
6302,5
7404,4
1169,0
3545,9
6259,4
1872,0
8692,4
183,7
2301,3
7895,0
6942,4
3893,0
6402,3
1365,2
3705,1
2235,2
2979,6
3734,5
2060,6
5901,1
6040,7
8702,4
6783,2
8610,2
4482,0
4796,0
8048,9
5077,3
4744,0
1569,9
52,0
3193,3
1733,5
961,7
4558,3
8416,8
2865,4
435,8
4864,2
5489,2
8564,9
4154,1
2476,8
2033,8
7122,7
1959,7
3241,0
2424,6
265,2
6208,8
7082,5
169,8
8606,2
567,9
7661,3
697,5
5007,0
3870,0
1691,5
1835,5
528,8
782,9
823,3
2441,3
4121,2
6878,8
1360,2
535,8
1826,5
8074,4
4965,3
7407,4
7317,2
8594,3
7857,4
7443,1
1579,2
1105,7
5526,3
2701,8
3285,4
212,4
8108,0
7125,7
1269,7
6354,9
5548,5
2882,0
6199,3
5254,0
7087,5
7028,2
5600,8
1381,6
1332,0
3759,2
3266,0
5385,2
7301,3
7016,2
3092,7
8163,5
95,9
5040,2
2483,8
1375,2
2069,5
6363,9
1364,2
7618,1
49,0
1788,1
5401,0
1520,6
936,3
6062,3
6081,7
5200,5
7508,1
4246,4
138,5
107,3
2374,5
943,3
3289,4
498,1
3146,3
3840,7
6950,4
5572,9
7588,1
2708,8
6750,0
1394,0
3907,0
8171,4
5283,9
1757,4
3766,5
6892,3
1876,0
834,3
6147,3
778,9
5884,6
6600,3
1635,2
2331,5
981,0
1122,7
5390,0
2003,0
2373,5
225,5
338,7
2372,5
7431,8
4583,2
7376,6
8225,9
7981,3
7277,2
7682,1
56,2
5696,7
1807,6
3277,4
1362,2
4945,3
8618,3
6430,4
5516,2
8579,1
3889,0
3443,9
4778,0
5372,7
846,3
7416,4
6715,2
1141,9
6148,3
6867,0
1079,1
3945,0
80,0
